大 [dà],<ruby>大<rt>dà</rt></ruby>,大,大,dà,ㄉㄚˋ,big; large,ㄉㄚˋ,
小 [xiǎo],<ruby>小<rt>xiǎo</rt></ruby>,小,小,xiǎo,ㄒㄧㄠˇ,small; young,ㄒㄧㄠˇ,
高兴 [gāo xìng],<ruby>高<rt>gāo</rt></ruby><ruby>兴<rt>xìng</rt></ruby>,高兴,高興,gāo xìng,ㄍㄠ ㄒㄧㄥˋ,happy; glad,ㄍㄠ ㄒㄧㄥˋ,
快 [kuài],<ruby>快<rt>kuài</rt></ruby>,快,快,kuài,ㄎㄨㄞˋ,fast; quick; swift,ㄎㄨㄞˋ,
的 [de],<ruby>的<rt>de</rt></ruby>,的,的,de,ㄉㄜ˙,〜's [possessive],ㄉㄜ˙,
是 [shì],<ruby>是<rt>shì</rt></ruby>,是,是,shì,ㄕˋ,is,ㄕˋ,
了 [le],<ruby>了<rt>le</rt></ruby>,了,了,le,ㄌㄜ˙,〜ed [past tense],ㄌㄜ˙,
不 [bù],<ruby>不<rt>bù</rt></ruby>,不,不,bù,ㄅㄨˋ,not,ㄅㄨˋ,
有 [yǒu],<ruby>有<rt>yǒu</rt></ruby>,有,有,yǒu,ㄧㄡˇ,have,ㄧㄡˇ,
好 [hǎo],<ruby>好<rt>hǎo</rt></ruby>,好,好,hǎo,ㄏㄠˇ,good,ㄏㄠˇ,
想 [xiǎng],<ruby>想<rt>xiǎng</rt></ruby>,想,想,xiǎng,ㄒㄧㄤˇ,to think; would like to 〜,ㄒㄧㄤˇ,
来 [lái],<ruby>来<rt>lái</rt></ruby>,来,來,lái,ㄌㄞˊ,come,ㄌㄞˊ,
去 [qù],<ruby>去<rt>qù</rt></ruby>,去,去,qù,ㄑㄩˋ,go; to leave,ㄑㄩˋ,
看 [kàn],<ruby>看<rt>kàn</rt></ruby>,看,看,kàn,ㄎㄢˋ,see; look at; to watch,ㄎㄢˋ,
叫 [jiào],<ruby>叫<rt>jiào</rt></ruby>,叫,叫,jiào,ㄐㄧㄠˋ,to be called,ㄐㄧㄠˋ,
请 [qǐng],<ruby>请<rt>qǐng</rt></ruby>,请,請,qǐng,ㄑㄧㄥˇ,please; invite; to treat someone to something,ㄑㄧㄥˇ,
回 [huí],<ruby>回<rt>huí</rt></ruby>,回,回,huí,ㄏㄨㄟˊ,to return; to reply; to go back,ㄏㄨㄟˊ,
吃 [chī],<ruby>吃<rt>chī</rt></ruby>,吃,吃,chī,ㄔ,eat,ㄔ,
买 [mǎi],<ruby>买<rt>mǎi</rt></ruby>,买,買,mǎi,ㄇㄞˇ,to buy,ㄇㄞˇ,
喝 [hē],<ruby>喝<rt>hē</rt></ruby>,喝,喝,hē,ㄏㄜ,to drink,ㄏㄜ,
看见 [kàn jiàn],<ruby>看<rt>kàn</rt></ruby><ruby>见<rt>jiàn</rt></ruby>,看见,看見,kàn jiàn,ㄎㄢˋ ㄐㄧㄢˋ,see; catch sight of,ㄎㄢˋ ㄐㄧㄢˋ,
打电话 [dǎ  diàn huà],<ruby>打<rt>dǎ</rt></ruby><ruby>电<rt></rt></ruby><ruby>话<rt>diàn</rt></ruby>,打电话,打電話,dǎ  diàn huà,ㄉㄚˇ  ㄉㄧㄢˋ ㄏㄨㄚˋ,make a phone call,ㄉㄚˇ  ㄉㄧㄢˋ ㄏㄨㄚˋ,
再见 [zài jiàn],<ruby>再<rt>zài</rt></ruby><ruby>见<rt>jiàn</rt></ruby>,再见,再見,zài jiàn,ㄗㄞˋ ㄐㄧㄢˋ,goodbye; see you later,ㄗㄞˋ ㄐㄧㄢˋ,
